City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,Souillac,-20.5167,57.5167,73.78,60,20,11.5,MU,2022-10-07 04:45:51
187,San Quintin,30.4833,-115.95,67.96,85,13,7.9,MX,2022-10-07 04:45:52
188,Grindavik,63.8424,-22.4338,41.47,75,75,14.97,IS,2022-10-07 04:45:52
189,Pemba,-12.974,40.5178,70.5,94,40,5.75,MZ,2022-10-07 04:45:52
190,Verkhnevilyuysk,63.4453,120.3167,26.2,61,88,8.19,RU,2022-10-07 04:45:53
191,Kontagora,10.3999,5.4695,72.75,92,100,4.38,NG,2022-10-07 04:45:53
192,Willowmore,-33.2926,23.4895,54.03,68,97,5.82,ZA,2022-10-07 04:45:54
193,Banda Aceh,5.5577,95.3222,77.29,85,100,9.37,ID,2022-10-07 04:45:54
194,Caucaia,-3.7361,-38.6531,79.03,78,20,6.91,BR,2022-10-07 04:45:54
195,Aripuana,-9.1667,-60.6333,80.67,51,91,1.77,BR,2022-10-07 04:45:55
196,Sao Mateus Do Maranhao,-4.0417,-44.475,75.04,82,53,5.77,BR,2022-10-07 04:43:24
197,Aswan,24.0934,32.907,83.5,36,0,6.91,EG,2022-10-07 04:45:56
198,Amazar,53.858,120.875,40.57,40,100,1.28,RU,2022-10-07 04:45:56
199,Chapais,49.7834,-74.8492,38.98,96,100,11.54,CA,2022-10-07 04:45:57
200,Saquarema,-22.92,-42.5103,69.66,96,78,10.76,BR,2022-10-07 04:45:57
201,Balkanabat,39.5108,54.3671,71.71,18,0,4.32,TM,2022-10-07 04:45:58
202,Urengoy,65.9667,78.3667,32.83,97,100,15.79,RU,2022-10-07 04:45:58
203,Gillette,44.2911,-105.5022,41.92,86,100,5.01,US,2022-10-07 04:45:59
204,Tual,-5.6667,132.75,82.71,76,93,16.46,ID,2022-10-07 04:45:59
205,Victoria,22.2855,114.1577,87.85,69,42,5.01,HK,2022-10-07 04:45:03
206,Pontiac,42.6389,-83.2911,56.41,80,100,17.27,US,2022-10-07 04:41:59
207,Safranbolu,41.2508,32.6942,51.24,87,46,2.66,TR,2022-10-07 04:46:00
208,Saskylakh,71.9167,114.0833,23.29,92,99,19.66,RU,2022-10-07 04:46:01
209,Tuatapere,-46.1333,167.6833,54.41,54,12,4.38,NZ,2022-10-07 04:46:02
210,Abengourou,6.7297,-3.4964,69.64,99,100,3.09,CI,2022-10-07 04:46:02
211,Mayya,61.7333,130.2811,31.32,50,40,10.07,RU,2022-10-07 04:46:03
212,Perelyub,51.8667,50.3667,47.46,74,8,7.02,RU,2022-10-07 04:46:03
213,Gangapur,26.4833,76.7167,75.67,86,100,6.98,IN,2022-10-07 04:46:04
214,Khagaul,25.5833,85.05,87.75,74,40,3.44,IN,2022-10-07 04:46:04
215,Nikolskoye,59.7035,30.7861,53.49,74,96,13.53,RU,2022-10-07 04:46:05
216,Nantucket,41.2835,-70.0995,61.0,95,100,3.44,US,2022-10-07 04:46:05
217,Goure,13.9835,10.2704,79.14,53,76,1.83,NE,2022-10-07 04:46:06
218,Yerbogachen,61.2767,108.0108,34.12,59,100,6.71,RU,2022-10-07 04:46:06
219,Shingu,33.7333,135.9833,69.85,91,100,4.27,JP,2022-10-07 04:46:07
220,Buraydah,26.326,43.975,68.45,11,0,1.92,SA,2022-10-07 04:42:34
221,Neiafu,-18.65,-173.9833,81.28,74,40,6.91,TO,2022-10-07 04:46:08
